index,source,source link,hosted link,screenshot link,archived
1,https://twitter.com/madon5/status/1346916629804961797,,,,
,,,,,
,,,,,
,,,,,
2,https://twitter.com/stunningtruthsr/status/1346916898890371072,,,,
,,,,,
3,https://twitter.com/stunningtruthsr/status/1346915871306833920,,,,
,,,,,
4,https://twitter.com/rwacollins/status/1346928657156120577,,,,
,,,,,
,,,,,
,,,,,
5,https://twitter.com/yadayada8989/status/1347101778160963587,,,,
,,,,,
,,,,,
,,,,,
6,https://twitter.com/marte_campo/status/1346937622975885314,,,,
,,,,,
7,https://twitter.com/zhangfei987611/status/1349683852357222402,,,,
8,https://twitter.com/zhangfei987611/status/1349314369990000641,,,,
9,https://twitter.com/killbasasausage/status/1349121809178714114,,,,
,,,,,
10,https://twitter.com/zhangfei987611/status/1349111386194919424,,,,
11,https://twitter.com/zhangfei987651/status/1349014813901529091,,,,
12,https://twitter.com/zhangfei987651/status/1348934799763795970,,,,
13,https://twitter.com/catscityyy/status/1348058984159305728,,,,
14,https://twitter.com/JoshHanson1530/status/1347914920059428865,,,,
15,https://twitter.com/Jonatha19208586/status/1347535107037548544,,,,
16,https://twitter.com/HPBateman/status/1347451995368673282,,,,
,,,,,
17,https://twitter.com/DrukmanJake/status/1347236529568145411,,,,
,,,,,
18,https://twitter.com/burgermouth/status/1347235944164941827,,,,
19,https://twitter.com/dtriesch62/status/1346937034196332545,,,,
20,https://twitter.com/rwacollins/status/1346928657156120577,,,,
,,,,,
,,,,,
,,,,,
21,https://twitter.com/mousers/status/1347067840319246341,,,,
,,,,,
22,https://twitter.com/reuvenyaaqov/status/1347289545390370823,,,,
23,https://twitter.com/Haffoc/status/1347919947318571013,,,,
,,,,,
24,https://twitter.com/daibastard3/status/1347924302444695556,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,brought to you by memetic influence,,,,
,datasets@memeticinfluence.com,,,,
